event_id,user_id,event_date,event_name,feature_name,transaction_flag
E0001_1,U0001,10-02-2025,signup_completed,,0
E0001_2,U0001,11-02-2025,account_activated,,0
E0001_3,U0001,16-02-2025,feature_viewed,UPI Payments,0
E0002_1,U0002,27-02-2025,signup_completed,,0
E0002_2,U0002,27-02-2025,account_activated,,0
E0002_3,U0002,28-02-2025,feature_viewed,UPI Payments,0
E0002_4,U0002,08-03-2025,first_transaction,Savings Goal,1
E0002_5,U0002,18-03-2025,repeat_usage,Savings Goal,1
E0002_6,U0002,10-03-2025,repeat_usage,Savings Goal,1
E0002_7,U0002,15-03-2025,repeat_usage,Savings Goal,1
E0002_8,U0002,23-03-2025,repeat_usage,Savings Goal,1
E0002_9,U0002,20-03-2025,repeat_usage,Savings Goal,1
E0003_1,U0003,18-01-2025,signup_completed,,0
E0004_1,U0004,22-01-2025,signup_completed,,0
E0004_2,U0004,24-01-2025,account_activated,,0
E0004_3,U0004,25-01-2025,first_transaction,Savings Goal,1
E0004_4,U0004,29-01-2025,repeat_usage,Savings Goal,1
E0004_5,U0004,13-02-2025,repeat_usage,Savings Goal,1
E0004_6,U0004,05-02-2025,repeat_usage,Savings Goal,1
E0004_7,U0004,07-02-2025,repeat_usage,Savings Goal,1
E0005_1,U0005,06-02-2025,signup_completed,,0
E0005_2,U0005,07-02-2025,account_activated,,0
E0006_1,U0006,24-02-2025,signup_completed,,0
E0006_2,U0006,27-02-2025,account_activated,,0
E0006_3,U0006,01-03-2025,feature_viewed,Rewards,0
E0006_4,U0006,03-03-2025,first_transaction,Bill Pay,1
E0007_1,U0007,13-02-2025,signup_completed,,0
E0007_2,U0007,17-02-2025,account_activated,,0
E0007_3,U0007,18-02-2025,feature_viewed,Savings Goal,0
E0007_4,U0007,26-02-2025,first_transaction,Rewards,1
E0008_1,U0008,23-02-2025,signup_completed,,0
E0009_1,U0009,21-02-2025,signup_completed,,0
E0009_2,U0009,22-02-2025,account_activated,,0
E0009_3,U0009,28-02-2025,first_transaction,Rewards,1
E0010_1,U0010,26-01-2025,signup_completed,,0
E0010_2,U0010,27-01-2025,account_activated,,0
E0010_3,U0010,03-02-2025,first_transaction,Savings Goal,1
E0010_4,U0010,21-02-2025,repeat_usage,Savings Goal,1
E0010_5,U0010,20-02-2025,repeat_usage,Savings Goal,1
E0011_1,U0011,06-01-2025,signup_completed,,0
E0011_2,U0011,07-01-2025,account_activated,,0
E0011_3,U0011,09-01-2025,first_transaction,Savings Goal,1
